#------------------------------------------------- WARNING --------------------------------------------
#
# The data you have obtained from this automated Natural Resources Conservation Service
# database are subject to revision regardless of indicated Quality Assurance level.
# Data are released on condition that neither the NRCS nor the United States Government
# may be held liable for any damages resulting from its use.
#
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/!ut/p/
#
# Support Contact: usdafpacbc@midatl.service-now.com
#
#------------------------------------------------------------------------------------------------------
#
# Reporting Frequency: Daily
# Date Range: 2009-10-01 to 2019-05-08
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 978: Bogus Basin, ID
#
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description
# Snow Depth             Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously
#
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
#
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
#
#------------------------------------------------------------------------------------------------------
#
# Bogus Basin (978)
# Idaho  SNOTEL Site - 6340 ft
# Reporting Frequency: Daily; Date Range: 2009-10-01 to 2019-05-08
#
# As of: May 8, 2019 6:27:25 AM GMT-08:00
#
Date,Snow Depth (cm) Start of Day Values,Snow Water Equivalent (mm) Start of Day Values
2009-12-26,74,152
2009-12-27,71,152
2009-12-28,71,152
2009-12-29,71,152
2009-12-30,71,157
2009-12-31,81,170
2010-01-01,89,188
2010-01-02,99,208
2010-01-03,94,208
2010-01-04,91,208
2010-01-05,89,211
2010-01-06,97,221
2010-01-07,94,221
2010-01-08,94,221
2010-01-09,91,221
2010-01-10,89,224
2010-01-11,89,224
2010-01-12,86,224
2010-01-13,91,231
2010-01-14,99,244
2010-01-15,99,244
2010-01-16,97,246
2010-01-17,97,249
2010-01-18,97,249
2010-01-19,119,284
2010-01-20,119,290
2010-01-21,124,305
2010-01-22,124,310
2010-01-23,132,323
2010-01-24,137,330
2010-01-25,135,333
2010-01-26,132,338
2010-01-27,145,358
2010-01-28,142,358
2010-01-29,137,358
2010-01-30,135,358
2010-01-31,137,361
2010-02-01,145,371
2010-02-02,142,371
2010-02-03,140,373
2010-02-04,142,373
2010-02-05,140,376
2010-02-06,145,391
2010-02-07,140,391
2010-02-08,140,391
2010-02-09,140,391
2010-02-10,137,391
2010-02-11,135,391
2010-02-12,140,399
2010-02-13,157,417
2010-02-14,155,419
2010-02-15,152,422
2010-02-16,150,422
2010-02-17,150,422
2010-02-18,147,422
2010-02-19,145,422
2010-02-20,145,424
2010-02-21,150,427
2010-02-22,150,427
2010-02-23,150,429
2010-02-24,145,434
2010-02-25,160,455
2010-02-26,160,455
2010-02-27,157,455
2010-02-28,163,467
2010-03-01,157,467
2010-03-02,155,467
2010-03-03,152,470
2010-03-04,152,472
2010-03-05,155,480
2010-03-06,152,480
2010-03-07,152,480
2010-03-08,150,480
2010-03-09,155,483
2010-03-10,152,483
2010-03-11,152,483
2010-03-12,150,485
2010-03-13,150,493
2010-03-14,173,518
2010-03-15,170,518
2010-03-16,165,518
2010-03-17,160,518
2010-03-18,155,518
2010-03-19,152,518
2010-03-20,152,518
2010-03-21,147,518
2010-03-22,152,521
2010-03-23,147,523
2010-03-24,150,523
2010-03-25,147,523
2010-03-26,160,536
2010-03-27,175,549
2010-03-28,170,551
2010-03-29,168,551
2010-03-30,168,559
2010-03-31,193,587
2010-04-01,185,589
2010-04-02,188,592
2010-04-03,206,617
2010-04-04,201,625
2010-04-05,198,630
2010-04-06,203,632
2010-04-07,198,632
2010-04-08,193,640
2010-04-09,196,640
2010-04-10,193,643
2010-04-11,190,643
2010-04-12,185,648
2010-04-13,193,653
2010-04-14,198,658
2010-04-15,188,658
2010-04-16,183,653
2010-04-17,175,632
2010-04-18,170,615
2010-04-19,163,599
2010-04-20,157,579
2010-04-21,147,564
2010-04-22,142,521
2010-04-23,140,505
2010-04-24,137,493
2010-04-25,130,475
2010-04-26,130,462
2010-04-27,119,439
2010-04-28,119,427
2010-04-29,142,462
2010-04-30,142,470
2010-05-01,140,472
2010-05-02,142,478
2010-05-03,135,478
2010-05-04,132,478
2010-05-05,130,478
2010-05-06,140,485
2010-05-07,137,490
2010-05-08,132,493
2010-05-09,130,485
2010-05-10,124,478
2010-05-11,122,475
2010-05-12,119,462
2010-05-13,114,447
2010-05-14,112,429
2010-05-15,104,404
2010-05-16,99,376
2010-05-17,89,348
2010-05-18,79,305
2010-05-19,74,284
2010-05-20,69,262
2010-05-21,66,254
2010-05-22,61,236
2010-05-23,102,277
2010-05-24,84,277
2010-05-25,79,274
2010-05-26,69,267
2010-05-27,66,251
2010-05-28,61,231
2010-05-29,58,226
2010-05-30,56,208
2010-05-31,51,188
2010-06-01,43,165
2010-06-02,36,137
2010-06-03,28,104
2010-06-04,18,58
2010-06-05,8,28
2010-06-06,0,0
2010-06-07,0,0
2010-06-08,0,0
2010-06-09,0,0
2010-06-10,0,0
2010-06-11,0,0
2010-06-12,0,0
2010-06-13,0,0
2010-06-14,0,0
2010-06-15,0,0
2010-06-16,0,0
2010-06-17,0,0
2010-06-18,0,0
2010-06-19,0,0
2010-06-20,0,0
2010-06-21,0,0
2010-06-22,0,0
2010-06-23,0,0
2010-06-24,0,0
2010-06-25,0,0
2010-06-26,0,0
2010-06-27,0,0
2010-06-28,0,0
2010-06-29,0,0
2010-06-30,0,0
2010-07-01,0,0
2010-07-02,0,0
2010-07-03,0,0
2010-07-04,0,0
2010-07-05,0,0
2010-07-06,0,0
2010-07-07,0,0
2010-07-08,0,0
2010-07-09,0,0
2010-07-10,0,0
2010-07-11,0,0
2010-07-12,0,0
2010-07-13,0,0
2010-07-14,0,0
2010-07-15,0,0
2010-07-16,0,0
2010-07-17,0,0
2010-07-18,0,0
2010-07-19,0,0
2010-07-20,0,0
2010-07-21,0,0
2010-07-22,0,0
2010-07-23,0,0
2010-07-24,0,0
2010-07-25,0,0
2010-07-26,0,0
2010-07-27,0,0
2010-07-28,0,0
2010-07-29,0,0
2010-07-30,0,0
2010-07-31,0,0
2010-08-01,0,0
2010-08-02,0,0
2010-08-03,0,0
2010-08-04,0,0
2010-08-05,0,0
2010-08-06,0,0
2010-08-07,0,0
2010-08-08,0,0
2010-08-09,0,0
2010-08-10,0,0
2010-08-11,0,0
2010-08-12,0,0
2010-08-13,0,0
2010-08-14,0,0
2010-08-15,0,0
2010-08-16,0,0
2010-08-17,0,0
2010-08-18,0,0
2010-08-19,0,0
2010-08-20,0,0
2010-08-21,0,0
2010-08-22,0,0
2010-08-23,0,0
2010-08-24,0,0
2010-08-25,0,0
2010-08-26,0,0
2010-08-27,0,0
2010-08-28,0,0
2010-08-29,0,0
2010-08-30,0,0
2010-08-31,0,0
2010-09-01,0,0
2010-09-02,0,0
2010-09-03,0,0
2010-09-04,0,0
2010-09-05,0,0
2010-09-06,0,0
2010-09-07,0,0
2010-09-08,0,0
2010-09-09,0,0
2010-09-10,0,0
2010-09-11,0,0
2010-09-12,0,0
2010-09-13,0,0
2010-09-14,0,0
2010-09-15,0,0
2010-09-16,0,0
2010-09-17,0,0
2010-09-18,0,0
2010-09-19,0,0
2010-09-20,0,0
2010-09-21,0,0
2010-09-22,0,0
2010-09-23,0,0
2010-09-24,0,0
2010-09-25,0,0
2010-09-26,0,0
2010-09-27,0,0
2010-09-28,0,0
2010-09-29,0,0
2010-09-30,0,0
2010-10-01,0,0
2010-10-02,0,0
2010-10-03,0,0
2010-10-04,0,0
2010-10-05,0,0
2010-10-06,0,0
2010-10-07,0,0
2010-10-08,0,0
2010-10-09,0,0
2010-10-10,0,0
2010-10-11,0,0
2010-10-12,0,0
2010-10-13,0,0
2010-10-14,0,0
2010-10-15,0,0
2010-10-16,0,0
2010-10-17,0,0
2010-10-18,0,0
2010-10-19,0,0
2010-10-20,0,0
2010-10-21,0,0
2010-10-22,0,0
2010-10-23,0,0
2010-10-24,0,0
2010-10-25,0,0
2010-10-26,8,10
2010-10-27,18,23
2010-10-28,15,28
2010-10-29,13,30
2010-10-30,8,25
2010-10-31,5,23
2010-11-01,5,23
2010-11-02,5,23
2010-11-03,5,23
2010-11-04,5,20
2010-11-05,3,13
2010-11-06,0,0
2010-11-07,0,0
2010-11-08,0,0
2010-11-09,0,0
2010-11-10,5,8
2010-11-11,10,13
2010-11-12,8,13
2010-11-13,8,13
2010-11-14,8,15
2010-11-15,5,23
2010-11-16,5,20
2010-11-17,5,18
2010-11-18,5,15
2010-11-19,3,10
2010-11-20,10,13
2010-11-21,13,15
2010-11-22,23,28
2010-11-23,56,71
2010-11-24,84,102
2010-11-25,76,102
2010-11-26,66,107
2010-11-27,61,112
2010-11-28,69,122
2010-11-29,64,122
2010-11-30,64,122
2010-12-01,71,135
2010-12-02,74,152
2010-12-03,76,165
2010-12-04,74,165
2010-12-05,74,170
2010-12-06,69,170
2010-12-07,89,188
2010-12-08,86,190
2010-12-09,81,190
2010-12-10,81,190
2010-12-11,84,198
2010-12-12,81,203
2010-12-13,76,203
2010-12-14,74,203
2010-12-15,94,234
2010-12-16,89,234
2010-12-17,89,234
2010-12-18,86,234
2010-12-19,99,246
2010-12-20,122,274
2010-12-21,119,277
2010-12-22,114,279
2010-12-23,109,279
2010-12-24,104,282
2010-12-25,107,282
2010-12-26,104,284
2010-12-27,119,300
2010-12-28,119,305
2010-12-29,152,356
2010-12-30,170,396
2010-12-31,173,396
2011-01-01,168,396
2011-01-02,160,396
2011-01-03,157,396
2011-01-04,152,396
2011-01-05,150,396
2011-01-06,147,396
2011-01-07,145,396
2011-01-08,142,394
2011-01-09,140,394
2011-01-10,142,394
2011-01-11,145,396
2011-01-12,142,396
2011-01-13,142,401
2011-01-14,150,417
2011-01-15,147,422
2011-01-16,147,429
2011-01-17,130,411
2011-01-18,124,394
2011-01-19,130,399
2011-01-20,130,399
2011-01-21,127,401
2011-01-22,132,409
2011-01-23,130,409
2011-01-24,130,409
2011-01-25,130,411
2011-01-26,130,411
2011-01-27,130,411
2011-01-28,130,411
2011-01-29,127,411
2011-01-30,127,411
2011-01-31,127,411
2011-02-01,127,411
2011-02-02,127,411
2011-02-03,127,411
2011-02-04,124,411
2011-02-05,124,409
2011-02-06,124,409
2011-02-07,124,409
2011-02-08,124,409
2011-02-09,124,406
2011-02-10,124,406
2011-02-11,124,406
2011-02-12,124,406
2011-02-13,124,406
2011-02-14,122,406
2011-02-15,122,406
2011-02-16,122,406
2011-02-17,132,406
2011-02-18,142,424
2011-02-19,145,434
2011-02-20,147,442
2011-02-21,150,442
2011-02-22,147,447
2011-02-23,155,455
2011-02-24,155,457
2011-02-25,157,460
2011-02-26,160,460
2011-02-27,155,460
2011-02-28,155,462
2011-03-01,152,465
2011-03-02,150,470
2011-03-03,155,478
2011-03-04,155,478
2011-03-05,155,483
2011-03-06,165,498
2011-03-07,163,498
2011-03-08,173,505
2011-03-09,173,513
2011-03-10,168,521
2011-03-11,178,536
2011-03-12,175,541
2011-03-13,173,544
2011-03-14,175,551
2011-03-15,175,561
2011-03-16,178,587
2011-03-17,201,610
2011-03-18,201,617
2011-03-19,193,622
2011-03-20,196,627
2011-03-21,190,635
2011-03-22,206,660
2011-03-23,203,665
2011-03-24,201,673
2011-03-25,203,686
2011-03-26,211,696
2011-03-27,226,721
2011-03-28,229,732
2011-03-29,224,732
2011-03-30,226,744
2011-03-31,218,747
2011-04-01,206,742
2011-04-02,201,732
2011-04-03,201,732
2011-04-04,201,732
2011-04-05,198,744
2011-04-06,201,749
2011-04-07,206,754
2011-04-08,206,757
2011-04-09,203,757
2011-04-10,203,757
2011-04-11,201,759
2011-04-12,198,759
2011-04-13,198,765
2011-04-14,198,765
2011-04-15,198,765
2011-04-16,196,762
2011-04-17,185,754
2011-04-18,183,747
2011-04-19,185,749
2011-04-20,185,749
2011-04-21,183,757
2011-04-22,201,777
2011-04-23,198,777
2011-04-24,193,780
2011-04-25,190,777
2011-04-26,196,792
2011-04-27,198,795
2011-04-28,193,800
2011-04-29,198,803
2011-04-30,196,800
2011-05-01,193,803
2011-05-02,190,803
2011-05-03,188,805
2011-05-04,185,803
2011-05-05,180,798
2011-05-06,178,792
2011-05-07,173,780
2011-05-08,168,765
2011-05-09,173,754
2011-05-10,168,739
2011-05-11,163,737
2011-05-12,157,714
2011-05-13,150,683
2011-05-14,142,640
2011-05-15,132,599
2011-05-16,142,579
2011-05-17,145,594
2011-05-18,140,594
2011-05-19,137,594
2011-05-20,130,577
2011-05-21,122,541
2011-05-22,117,511
2011-05-23,112,480
2011-05-24,107,462
2011-05-25,104,457
2011-05-26,107,442
2011-05-27,107,442
2011-05-28,114,455
2011-05-29,114,460
2011-05-30,114,472
2011-05-31,112,465
2011-06-01,104,452
2011-06-02,102,437
2011-06-03,102,432
2011-06-04,102,422
2011-06-05,94,406
2011-06-06,86,378
2011-06-07,76,343
2011-06-08,71,315
2011-06-09,64,290
2011-06-10,64,269
2011-06-11,58,244
2011-06-12,51,213
2011-06-13,41,173
2011-06-14,33,140
2011-06-15,20,86
2011-06-16,13,41
2011-06-17,5,20
2011-06-18,0,0
2011-06-19,0,0
2011-06-20,0,0
2011-06-21,0,0
2011-06-22,0,0
2011-06-23,0,0
2011-06-24,0,0
2011-06-25,0,0
2011-06-26,0,0
2011-06-27,0,0
2011-06-28,0,0
2011-06-29,0,0
2011-06-30,0,0
2011-07-01,0,0
2011-07-02,0,0
2011-07-03,0,0
2011-07-04,0,0
2011-07-05,0,0
2011-07-06,0,0
2011-07-07,0,0
2011-07-08,0,0
2011-07-09,0,0
2011-07-10,0,0
2011-07-11,0,0
2011-07-12,0,0
2011-07-13,0,0
2011-07-14,0,0
2011-07-15,0,0
2011-07-16,0,0
2011-07-17,0,0
2011-07-18,0,0
2011-07-19,0,0
2011-07-20,0,0
2011-07-21,0,0
2011-07-22,0,0
2011-07-23,0,0
2011-07-24,0,0
2011-07-25,0,0
2011-07-26,0,0
2011-07-27,0,0
2011-07-28,0,0
2011-07-29,0,0
2011-07-30,0,0
2011-07-31,0,0
2011-08-01,0,0
2011-08-02,0,0
2011-08-03,0,0
2011-08-04,0,0
2011-08-05,0,0
2011-08-06,0,0
2011-08-07,0,0
2011-08-08,0,0
2011-08-09,0,0
2011-08-10,0,0
2011-08-11,0,0
2011-08-12,0,0
2011-08-13,0,0
2011-08-14,0,0
2011-08-15,0,0
2011-08-16,0,0
2011-08-17,0,0
2011-08-18,0,0
2011-08-19,0,0
2011-08-20,0,0
2011-08-21,0,0
2011-08-22,0,0
2011-08-23,0,0
2011-08-24,0,0
2011-08-25,0,0
2011-08-26,0,0
2011-08-27,0,0
2011-08-28,0,0
2011-08-29,0,0
2011-08-30,0,0
2011-08-31,0,0
2011-09-01,0,0
2011-09-02,0,0
2011-09-03,0,0
2011-09-04,0,0
2011-09-05,0,0
2011-09-06,0,0
2011-09-07,0,0
2011-09-08,0,0
2011-09-09,0,0
2011-09-10,0,0
2011-09-11,0,0
2011-09-12,0,0
2011-09-13,0,0
2011-09-14,0,0
2011-09-15,0,0
2011-09-16,0,0
2011-09-17,0,0
2011-09-18,0,0
2011-09-19,0,0
2011-09-20,0,0
2011-09-21,0,0
2011-09-22,0,0
2011-09-23,0,0
2011-09-24,0,0
2011-09-25,0,0
2011-09-26,0,0
2011-09-27,0,0
2011-09-28,0,0
2011-09-29,0,0
2011-09-30,0,0
2011-10-01,0,0
2011-10-02,0,0
2011-10-03,0,0
2011-10-04,0,0
2011-10-05,0,0
2011-10-06,0,0
2011-10-07,8,13
2011-10-08,3,8
2011-10-09,0,0
2011-10-10,0,0
2011-10-11,0,0
2011-10-12,0,0
2011-10-13,0,0
2011-10-14,0,0
2011-10-15,0,0
2011-10-16,0,0
2011-10-17,0,0
2011-10-18,0,0
2011-10-19,0,0
2011-10-20,0,0
2011-10-21,0,0
2011-10-22,0,0
2011-10-23,0,0
2011-10-24,0,0
2011-10-25,0,0
2011-10-26,0,0
2011-10-27,0,0
2011-10-28,0,0
2011-10-29,0,0
2011-10-30,0,0
2011-10-31,0,0
2011-11-01,0,0
2011-11-02,0,0
2011-11-03,3,3
2011-11-04,3,3
2011-11-05,3,3
2011-11-06,3,3
2011-11-07,8,8
2011-11-08,8,8
2011-11-09,5,8
2011-11-10,5,10
2011-11-11,5,13
2011-11-12,8,18
2011-11-13,18,23
2011-11-14,15,25
2011-11-15,15,25
2011-11-16,15,25
2011-11-17,13,28
2011-11-18,18,41
2011-11-19,20,41
2011-11-20,20,43
2011-11-21,18,46
2011-11-22,18,46
2011-11-23,23,56
2011-11-24,23,58
2011-11-25,25,58
2011-11-26,28,58
2011-11-27,28,58
2011-11-28,25,58
2011-11-29,23,58
2011-11-30,25,58
2011-12-01,25,58
2011-12-02,23,58
2011-12-03,25,58
2011-12-04,23,58
2011-12-05,25,58
2011-12-06,25,58
2011-12-07,25,58
2011-12-08,25,58
2011-12-09,23,58
2011-12-10,23,58
2011-12-11,23,58
2011-12-12,23,58
2011-12-13,25,58
2011-12-14,25,58
2011-12-15,23,58
2011-12-16,23,58
2011-12-17,23,58
2011-12-18,23,58
2011-12-19,23,58
2011-12-20,23,58
2011-12-21,23,58
2011-12-22,25,58
2011-12-23,25,58
2011-12-24,25,58
2011-12-25,25,58
2011-12-26,23,58
2011-12-27,25,58
2011-12-28,28,69
2011-12-29,23,81
2011-12-30,25,81
2011-12-31,33,94
2012-01-01,28,94
2012-01-02,30,97
2012-01-03,30,97
2012-01-04,30,97
2012-01-05,28,97
2012-01-06,30,97
2012-01-07,30,97
2012-01-08,30,97
2012-01-09,30,97
2012-01-10,28,97
2012-01-11,30,97
2012-01-12,33,97
2012-01-13,30,97
2012-01-14,30,97
2012-01-15,30,97
2012-01-16,33,97
2012-01-17,30,97
2012-01-18,33,97
2012-01-19,81,165
2012-01-20,124,221
2012-01-21,142,272
2012-01-22,137,279
2012-01-23,140,292
2012-01-24,140,295
2012-01-25,135,302
2012-01-26,130,302
2012-01-27,137,310
2012-01-28,135,310
2012-01-29,132,310
2012-01-30,130,312
2012-01-31,130,312
2012-02-01,127,312
2012-02-02,132,318
2012-02-03,130,318
2012-02-04,127,318
2012-02-05,124,318
2012-02-06,124,318
2012-02-07,124,318
2012-02-08,122,320
2012-02-09,122,320
2012-02-10,119,328
2012-02-11,119,328
2012-02-12,119,330
2012-02-13,119,330
2012-02-14,119,330
2012-02-15,127,333
2012-02-16,124,333
2012-02-17,122,333
2012-02-18,119,338
2012-02-19,122,340
2012-02-20,122,340
2012-02-21,130,348
2012-02-22,140,373
2012-02-23,137,373
2012-02-24,135,378
2012-02-25,132,378
2012-02-26,150,389
2012-02-27,147,396
2012-02-28,145,396
2012-02-29,145,396
2012-03-01,152,406
2012-03-02,168,422
2012-03-03,165,422
2012-03-04,160,427
2012-03-05,155,427
2012-03-06,152,427
2012-03-07,157,429
2012-03-08,150,429
2012-03-09,150,432
2012-03-10,147,432
2012-03-11,142,432
2012-03-12,147,434
2012-03-13,145,442
2012-03-14,152,447
2012-03-15,155,470
2012-03-16,147,483
2012-03-17,155,495
2012-03-18,165,516
2012-03-19,170,516
2012-03-20,168,516
2012-03-21,173,531
2012-03-22,163,531
2012-03-23,157,528
2012-03-24,157,526
2012-03-25,155,523
2012-03-26,150,518
2012-03-27,160,531
2012-03-28,157,536
2012-03-29,163,549
2012-03-30,165,561
2012-03-31,157,559
2012-04-01,152,556
2012-04-02,157,561
2012-04-03,155,561
2012-04-04,152,559
2012-04-05,155,559
2012-04-06,157,561
2012-04-07,155,561
2012-04-08,152,559
2012-04-09,150,556
2012-04-10,147,549
2012-04-11,142,538
2012-04-12,142,521
2012-04-13,140,513
2012-04-14,137,511
2012-04-15,135,508
2012-04-16,135,503
2012-04-17,132,498
2012-04-18,130,485
2012-04-19,127,470
2012-04-20,124,455
2012-04-21,117,434
2012-04-22,112,409
2012-04-23,102,378
2012-04-24,91,340
2012-04-25,86,312
2012-04-26,79,292
2012-04-27,76,272
2012-04-28,76,277
2012-04-29,74,279
2012-04-30,71,267
2012-05-01,69,251
2012-05-02,64,234
2012-05-03,64,231
2012-05-04,61,231
2012-05-05,69,234
2012-05-06,66,234
2012-05-07,64,231
2012-05-08,58,216
2012-05-09,51,180
2012-05-10,41,142
2012-05-11,33,119
2012-05-12,23,89
2012-05-13,18,66
2012-05-14,13,46
2012-05-15,5,15
2012-05-16,0,0
2012-05-17,0,0
2012-05-18,0,0
2012-05-19,0,0
2012-05-20,0,0
2012-05-21,0,0
2012-05-22,0,0
2012-05-23,0,0
2012-05-24,0,0
2012-05-25,0,0
2012-05-26,0,0
2012-05-27,0,0
2012-05-28,0,0
2012-05-29,0,0
2012-05-30,0,0
2012-05-31,0,0
2012-06-01,0,0
2012-06-02,0,0
2012-06-03,0,0
2012-06-04,0,0
2012-06-05,0,0
2012-06-06,0,0
2012-06-07,0,0
2012-06-08,0,0
2012-06-09,0,0
2012-06-10,0,0
2012-06-11,0,0
2012-06-12,0,0
2012-06-13,0,0
2012-06-14,0,0
2012-06-15,0,0
2012-06-16,0,0
2012-06-17,0,0
2012-06-18,0,0
2012-06-19,0,0
2012-06-20,0,0
2012-06-21,0,0
2012-06-22,0,0
2012-06-23,0,0
2012-06-24,0,0
2012-06-25,0,0
2012-06-26,0,0
2012-06-27,0,0
2012-06-28,0,0
2012-06-29,0,0
2012-06-30,0,0
2012-07-01,0,0
2012-07-02,0,0
2012-07-03,0,0
2012-07-04,0,0
2012-07-05,0,0
2012-07-06,0,0
2012-07-07,0,0
2012-07-08,0,0
2012-07-09,0,0
2012-07-10,0,0
2012-07-11,0,0
2012-07-12,0,0
2012-07-13,0,0
2012-07-14,0,0
2012-07-15,0,0
2012-07-16,0,0
2012-07-17,0,0
2012-07-18,0,0
2012-07-19,0,0
2012-07-20,0,0
2012-07-21,0,0
2012-07-22,0,0
2012-07-23,0,0
2012-07-24,0,0
2012-07-25,0,0
2012-07-26,0,0
2012-07-27,0,0
2012-07-28,0,0
2012-07-29,0,0
2012-07-30,0,0
2012-07-31,0,0
2012-08-01,0,0
2012-08-02,0,0
2012-08-03,0,0
2012-08-04,0,0
2012-08-05,0,0
2012-08-06,0,0
2012-08-07,0,0
2012-08-08,0,0
2012-08-09,0,0
2012-08-10,0,0
2012-08-11,0,0
2012-08-12,0,0
2012-08-13,0,0
2012-08-14,0,0
2012-08-15,0,0
2012-08-16,0,0
2012-08-17,0,0
2012-08-18,0,0
2012-08-19,0,0
2012-08-20,0,0
2012-08-21,0,0
2012-08-22,0,0
2012-08-23,0,0
2012-08-24,0,0
2012-08-25,0,0
2012-08-26,0,0
2012-08-27,0,0
2012-08-28,0,0
2012-08-29,0,0
2012-08-30,0,0
2012-08-31,0,0
2012-09-01,0,0
2012-09-02,0,0
2012-09-03,0,0
2012-09-04,0,0
2012-09-05,0,0
2012-09-06,0,0
2012-09-07,0,0
2012-09-08,0,0
2012-09-09,0,0
2012-09-10,0,0
2012-09-11,0,0
2012-09-12,0,0
2012-09-13,0,0
2012-09-14,0,0
2012-09-15,0,0
2012-09-16,0,0
2012-09-17,0,0
2012-09-18,0,0
2012-09-19,0,0
2012-09-20,0,0
2012-09-21,0,0
2012-09-22,0,0
2012-09-23,0,0
2012-09-24,0,0
2012-09-25,0,0
2012-09-26,0,0
2012-09-27,0,0
2012-09-28,0,0
2012-09-29,0,0
2012-09-30,0,0
2012-10-01,0,0
2012-10-02,0,0
